date,rain_sum,temperature_2m_mean
2021-05-31 18:00:00+00:00,37.29999,27.19325
2021-06-01 18:00:00+00:00,8.9,28.655748
2021-06-02 18:00:00+00:00,1.2,29.201582
2021-06-03 18:00:00+00:00,0.6,29.768248
2021-06-04 18:00:00+00:00,24.000002,28.61825
2021-06-05 18:00:00+00:00,31.000004,26.674501
2021-06-06 18:00:00+00:00,25.9,28.149498
2021-06-07 18:00:00+00:00,32.7,27.903664
2021-06-08 18:00:00+00:00,2.1999998,28.743254
2021-06-09 18:00:00+00:00,6.6000004,28.161997
2021-06-10 18:00:00+00:00,16.099998,27.534912
2021-06-11 18:00:00+00:00,12.400002,27.41408
2021-06-12 18:00:00+00:00,3.8000002,28.318247
2021-06-13 18:00:00+00:00,2.4999998,28.10575
2021-06-14 18:00:00+00:00,18.300001,27.739082
2021-06-15 18:00:00+00:00,10.6,26.61825
2021-06-16 18:00:00+00:00,14.000002,26.4245
2021-06-17 18:00:00+00:00,27.3,25.941168
2021-06-18 18:00:00+00:00,44.5,25.357832
2021-06-19 18:00:00+00:00,17.000004,26.305748
2021-06-20 18:00:00+00:00,6.5,27.193253
2021-06-21 18:00:00+00:00,8.099999,27.668251
2021-06-22 18:00:00+00:00,1.9000002,28.184916
2021-06-23 18:00:00+00:00,2.8999999,28.124498
2021-06-24 18:00:00+00:00,1.9000002,28.29325
2021-06-25 18:00:00+00:00,4.2000003,28.257833
2021-06-26 18:00:00+00:00,2.5,29.066164
2021-06-27 18:00:00+00:00,5.5,28.5245
2021-06-28 18:00:00+00:00,12.899999,28.049501
2021-06-29 18:00:00+00:00,42.499996,27.949501
2021-06-30 18:00:00+00:00,16.199999,26.999498
2021-07-01 18:00:00+00:00,24.2,27.239084
2021-07-02 18:00:00+00:00,10.999999,27.584917
2021-07-03 18:00:00+00:00,4.1000004,27.941168
2021-07-04 18:00:00+00:00,7.3999996,28.172417
2021-07-05 18:00:00+00:00,7.3999996,28.3995
2021-07-06 18:00:00+00:00,21.200003,28.03908
2021-07-07 18:00:00+00:00,7.7999997,28.151583
2021-07-08 18:00:00+00:00,1.3000001,29.016165
